dysfunction,Maturity,Solutions,Impacts
L'équipe n'a pas de leader,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
L'équipe n'a pas de leader,Niveau 2,E-diagnostic Leadership,"Pour ce dysfonctionnement, nous avons besoin d'approfondir avec un autre e-diagnostic qui n'est pas encore disponible afin d'en connaitre les raisons. Ces raisons peuvent être diverses et variées mais tout à fait normal en fonction de votre contexte."
L'équipe n'a pas de leader,Nextoo,Stringball,Montrer les interactions qui se mettent en place lorsqu’une équipe doit atteindre un objectif dans un contexte challengeant.
L'équipe n'a pas de leader,Nextoo 2,The Tower of Power,Atelier de groupe ludique et collaboratif. Tower of Power propose une activité physique de manipulation de blocs afin d'en construire une tour. L'équipe réussira-t-elle le défi? Qu'en apprendra-t-elle?
L'équipe dit non à tout,Niveau 0,Global,Impact global attendu : Permettre une identification de chaque membre concernant son autonomie et sa responsabilité dans l'équipe ainsi qu'une meilleure compréhension fonctionnel du produit qu'elle construit
L'équipe dit non à tout,Niveau 1,Gestion du backlog,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant son degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques."
L'équipe dit non à tout,Niveau 2,Wip Limit,Permettre d'identifier les blocages dans le flux de travail et de permettre une meilleure collaboration au sein de l'équipe
L'équipe dit non à tout,Niveau 3,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la prise de responsabilité et l'amélioration continue."
L'équipe dit non à tout,Nextoo,,
L'équipe n'ose pas,Niveau 0,Global,Impact global attendu : Permettre à l'équipe d'obtenir des retours et d'expérimenter des nouvelles solutions par rapport aux besoins des utilisateurs
L'équipe n'ose pas,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
L'équipe n'ose pas,Niveau 2,Test & Learn,Permettre de développer rapidement de nouvelles idées et de s'adapter rapidement aux changements dans le marché ou les besoins des utilisateurs. Cela permet à l'entreprise d'être plus agile et compétitive
L'équipe n'ose pas,Nextoo,,
Pas d'enquête au préalable auprès de l'utilisateur,Niveau 0,Global,Impact global attendu : Vous avez une approche user centric en effet vous connaissez vos utilisateurs et leurs spécificités tout en ayant une approche qui limite les investissements supplémentaires
Pas d'enquête au préalable auprès de l'utilisateur,Niveau 1,Persona,Obtenir une représentation des utilisateurs afin de mieux cibler les fonctionnalités à mettre en place
Pas d'enquête au préalable auprès de l'utilisateur,Niveau 2,User Journey,Obtenir un parcours de l'interaction de l'utilisateur sur votre produit et/ou service afin de connaitre au mieux les améliorations à apporter et aussi de savoir ce qu'il fonctionne bien.
Pas d'enquête au préalable auprès de l'utilisateur,Niveau 3,Experiment AB Test,Création d'hypothèses UX à faire tester par les utilisateurs
Trop de temps passé sur la 1ere version,Niveau 0,Global,"Impact global attendu : Le produit sera de meilleure qualité et répondra aux besoins des utilisateurs tout en minimisant les coûts et le temps de développement. Cela peut se traduire par une meilleure satisfaction client, une réduction des coûts de développement et une accélération de la mise sur le marché ou en interne"
Trop de temps passé sur la 1ere version,Niveau 1,Story Mapping,Permettre de mieux comprendre les besoins des utilisateurs et de prioriser les fonctionnalités à développer. Cela permet de créer une vision partagée du produit et de faciliter la communication entre les différentes équipes impliquées dans le développement.
Trop de temps passé sur la 1ere version,Niveau 2,MVP,Permettre d'avoir plusieurs versions du produit et de limiter le risque d'échec
L'utilisateur n'a pas moyen de remonter ces problèmes,Niveau 0,Global,"Impact global attendu : Cela peut conduire à une meilleure satisfaction des utilisateurs, une meilleure rétention des utilisateurs, une réduction des coûts de développement et une amélioration globale de la qualité du produit"
L'utilisateur n'a pas moyen de remonter ces problèmes,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
L'utilisateur n'a pas moyen de remonter ces problèmes,Niveau 2,Review,Prise en compte des retours utilisateurs dans la Roadmap produit
La vision n'est pas claire,Niveau 0,Global,"Impact global attendu : Réduire le temps de commercialisation, à améliorer la qualité du produit et à augmenter la satisfaction des utilisateurs."
La vision n'est pas claire,Niveau 1,Product Vision Box,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
La vision n'est pas claire,Niveau 2,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
La vision n'est pas claire,Niveau 3,Lean Canvas,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Objectif non SMART,Niveau 0,Global,"Impact global attendu : Permettre une meilleure clarté et compréhension des objectifs, un meilleur alignement entre les équipes, une amélioration de la mesure de la performance"
Objectif non SMART,Niveau 1,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
Objectif non SMART,Niveau 2,OKR,Permettre un meilleur alignement entre les équipes ainsi qu'une amélioration de la mesure de la performance. Cela peut aider les équipes à comprendre leur contribution à l'entreprise et permettre à l'entreprise de suivre les résultats de manière plus précise
Manque de collaboration,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
La vision ne change pas,Niveau 0,Global,"Impact global attendu : Le produit est développé en prenant en compte les besoins des utilisateurs tout en restant aligné avec la vision du produit. Cela permet d'optimiser la qualité du produit, la satisfaction client et de maximiser les chances de réussite du produit sur le marché."
La vision ne change pas,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
La vision ne change pas,Niveau 2,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Mauvais focus du problème,Niveau 0,Global,"Impact global attendu : Visualiser le parcours de l'utilisateur à travers le produit ou le service, identifier les points de friction et de confusion, et trouver des moyens d'améliorer l'expérience globale."
Mauvais focus du problème,Niveau 1,User Journey,Obtenir un parcours de l'interaction de l'utilisateur sur votre produit et/ou service afin de connaitre au mieux les améliorations à apporter et aussi de savoir ce qu'il fonctionne bien.
Mauvais focus du problème,Niveau 2,Experience Map,"Aider les équipes à créer des produits ou services plus alignés sur les besoins et les attentes des utilisateurs, améliorer l'expérience utilisateur globale et prendre des décisions plus éclairées basées sur des données."
Les utilisateurs choisis ne sont pas un échantillon représentatif,Niveau 1,Persona,Obtenir une représentation des utilisateurs afin de mieux cibler les fonctionnalités à mettre en place
Le processus n'est pas écrit en collaboration avec les utilisateurs,Niveau 2,Story Mapping,Permettre de mieux comprendre les besoins des utilisateurs et de prioriser les fonctionnalités à développer. Cela permet de créer une vision partagée du produit et de faciliter la communication entre les différentes équipes impliquées dans le développement.
La vision n'est pas mise à jour,Niveau 0,Global,"Impact global attendu : Permettre d'améliorer la qualité et la pertinence de ses produits en continu, tout en minimisant les risques et les coûts associés à des échecs potentiels. L'équipe peut mieux communiquer sa vision et ses objectifs à l'ensemble des parties prenantes, et prendre des décisions plus éclairées en se basant sur des données réelles"
La vision n'est pas mise à jour,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
La vision n'est pas mise à jour,Niveau 2,Iteration Vision ( Test & Learn & mesureament),"Tester et itérer rapidement des idées de produit, de nouvelles fonctionnalités et des changements de conception. Il permet également de mesurer les résultats de ces tests pour identifier les options les plus performantes à conserver"
La vision n'est pas mise à jour,Niveau 3,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Trop de strates dans l'organisation,Niveau 0,Global,"Impact global attendu : Améliorer l'efficacité globale de l'équipe, en clarifiant les responsabilités et en permettant à chaque membre de l'équipe de contribuer de manière optimale à la réalisation des objectifs communs"
Trop de strates dans l'organisation,Niveau 1,Matrice des rôles,"Clarifier les responsabilités et les tâches de chaque membre de l'équipe, en attribuant des rôles spécifiques en fonction de leurs compétences et de leurs expériences"
Trop de strates dans l'organisation,Niveau 2,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
La construction du produit est imposée,Niveau 0,Global,"Impact global attendu : Une meilleure compréhension du produit à développer, de sa vision, de ses fonctionnalités et de son marché cible. Aligner les objectifs de l'entreprise et à prendre des décisions éclairées quant aux priorités à suivre pour le développement du produit. En utilisant la Délégation poker, l'équipe pourra mieux comprendre les rôles et responsabilités de chacun"
La construction du produit est imposée,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
La construction du produit est imposée,Niveau 2,Story Mapping,Permettre de mieux comprendre les besoins des utilisateurs et de prioriser les fonctionnalités à développer. Cela permet de créer une vision partagée du produit et de faciliter la communication entre les différentes équipes impliquées dans le développement.
La construction du produit est imposée,Niveau 3,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Le problème est une invention,Niveau 0,Global,Impact global attendu : Vous avez une approche user centric en effet vous connaissez vos utilisateurs et leurs spécificités tout en ayant une approche qui limite les investissements supplémentaires
Le problème est une invention,Niveau 1,Persona,Obtenir une représentation des utilisateurs afin de mieux cibler les fonctionnalités à mettre en place
Le problème est une invention,Niveau 2,User Journey,Obtenir un parcours de l'interaction de l'utilisateur sur votre produit et/ou service afin de connaitre au mieux les améliorations à apporter et aussi de savoir ce qu'il fonctionne bien.
Le problème est une invention,Niveau 3,Experiment AB Test,Création d'hypothèses UX à faire tester par les utilisateurs
Absence d'objectif,Niveau 0,Global,"Impact global attendu : Permettre une meilleure clarté et compréhension des objectifs, un meilleur alignement entre les équipes, une amélioration de la mesure de la performance"
Absence d'objectif,Niveau 1,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
Absence d'objectif,Niveau 2,OKR,Permettre un meilleur alignement entre les équipes ainsi qu'une amélioration de la mesure de la performance. Cela peut aider les équipes à comprendre leur contribution à l'entreprise et permettre à l'entreprise de suivre les résultats de manière plus précise.
L'équipe et les parties prenantes n'ont pas confiance en les utilisateurs,Niveau 0,Global,"Impact global attendu : Connaissance de vos utilisateurs et la conduite à une meilleure satisfaction des utilisateurs, une meilleure rétention des utilisateurs, une réduction des coûts de développement et une amélioration globale de la qualité du produit"
L'équipe et les parties prenantes n'ont pas confiance en les utilisateurs,Niveau 1,Persona,Obtenir une représentation des utilisateurs afin de mieux cibler les fonctionnalités à mettre en place
L'équipe et les parties prenantes n'ont pas confiance en les utilisateurs,Niveau 2,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
L'équipe et les parties prenantes n'ont pas confiance en les utilisateurs,Niveau 3,Review,Prise en compte des retours utilisateurs dans la Roadmap produit
La vision n'est pas communiquée,Niveau 0,Global,"Impact global attendu : Comprendre les besoins des clients et les objectifs de l'entreprise, tout en travaillant de manière plus collaborative et en identifiant les problèmes potentiels plus rapidement"
La vision n'est pas communiquée,Niveau 1,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
La vision n'est pas communiquée,Niveau 2,Team Area,Permettre un espace dédié pour l'équipe sur la vision et la stratégie du produit
La vision n'est pas communiquée,Niveau 3,Lean Canvas,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
La vision n'est pas communiquée,Niveau 4,Gamba,Permettre un espace dédié pour l'équipe sur la vision et la stratégie du produit
La raison d'être du produit n'a pas de sens car une solution existe déjà,Niveau 1,Benchmark,Le benchmark va permettre une expression des besoins ainsi que la définition d'un périmètre. De plus il permettra de connaitre le marché ainsi que les futurs différenciations du produit à construire
Non communication sur le produit,Niveau 0,Global,Impact global attendu : Meilleure communication ainsi qu'une meilleure compréhension des besoins et attentes des utilisateurs
Non communication sur le produit,Niveau 1,Stratégie de communication,"Permettre l'augmentation de la visibilité (Newsletter, démonstration) et de la réputation et même pour certains produits la fidélisation des clients, la génération de prospects et une augmentation des ventes"
Non communication sur le produit,Niveau 2,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
La vision est imposée,Niveau 0,Global,"Impact global attendu : Permettre de définir une vision claire du produit, d'affiner la stratégie produit et de se concentrer sur les fonctionnalités qui ont un impact significatif sur les utilisateurs et le succès du produit."
La vision est imposée,Niveau 1,Story Mapping,Permettre de mieux comprendre les besoins des utilisateurs et de prioriser les fonctionnalités à développer. Cela permet de créer une vision partagée du produit et de faciliter la communication entre les différentes équipes impliquées dans le développement.
La vision est imposée,Niveau 2,Impact Mapping,Permettre pour chaque équipe de lister l'ensemble des impacts du développement produit.
La vision est imposée,Niveau 3,User Journey,Obtenir un parcours de l'interaction de l'utilisateur sur votre produit et/ou service afin de connaitre au mieux les améliorations à apporter et aussi de savoir ce qu'il fonctionne bien
Absence de valeur,Niveau 1,Business value game,Obtenir une priorisation en fonction des enjeux des utilisateurs
Le produit génère des problèmes,Niveau 1,Impact Mapping,Permettre pour chaque équipe de lister l'ensemble des impacts du développement produit sur les utilisateurs et les parties prenantes
Le climat social n'est pas adapté pour remonter le problème,Niveau 0,Global,"Impact global attendu : Permettre à l'équipe de donner leur feedback sur les processus, les produits et les stratégies, et à en discuter lors des revues régulières. Cela permettra de corriger les erreurs rapidement et d'identifier les améliorations à apporter."
Le climat social n'est pas adapté pour remonter le problème,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
Le climat social n'est pas adapté pour remonter le problème,Niveau 2,Review,Prise en compte des retours utilisateurs dans la Roadmap produit
Le climat social n'est pas adapté pour remonter le problème,Niveau 3,E-diagnostic Leadership,"Pour ce dysfonctionnement, nous avons besoin d'approfondir avec un autre e-diagnostic qui n'est pas encore disponible afin d'en connaitre les raisons. Ces raisons peuvent être diverses et variées mais tout à fait normal en fonction de votre contexte."
Le produit n'a pas d'évolutivité,Niveau 1,Experience Map,"Permettre de cartographier l'expérience d'un utilisateur, d'identifier les obstacles et les problèmes que le client rencontre avec un produit ou un service ainsi que les opportunités d'amélioration et d'innovation."
La raison d'être du produit est connue d'une seule personne,Niveau 0,Global,"Impact global attendu : Réduire le temps de commercialisation, à améliorer la qualité du produit et à augmenter la satisfaction des utilisateurs."
La raison d'être du produit est connue d'une seule personne,Niveau 1,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
La raison d'être du produit est connue d'une seule personne,Niveau 2,Lean Startup,Faire évoluer sa vision et donc sa stratégie afin de faire le bon produit. Source de motivation pour l'ensemble de l'équipe car elle permet d'aligner le collectif
Equipe sceptique,Niveau 1,E-diagnostic Leadership,"Pour ce dysfonctionnement, nous avons besoin d'approfondir avec un autre e-diagnostic qui n'est pas encore disponible afin d'en connaitre les raisons. Ces raisons peuvent être diverses et variées mais tout à fait normal en fonction de votre contexte."
Les fonctionnalités et services sont des projets,Niveau 0,Global,"Impact global attendu : Permettre de rendre le produit de meilleure qualité et de répondre aux besoins des utilisateurs tout en minimisant les coûts et le temps de développement. Cela peut se traduire par une meilleure satisfaction client, une réduction des coûts de développement et une accélération de la mise sur le marché ou en interne"
Les fonctionnalités et services sont des projets,Niveau 1,Story Mapping,Permettre de mieux comprendre les besoins des utilisateurs et de prioriser les fonctionnalités à développer. Cela permet de créer une vision partagée du produit et de faciliter la communication entre les différentes équipes impliquées dans le développement
Les fonctionnalités et services sont des projets,Niveau 2,Impact Mapping,Permettre pour chaque équipe de lister l'ensemble des impacts du développement produit sur les utilisateurs et les parties prenantes
Les fonctionnalités et services sont des projets,Niveau 3,MVP,Permettre d'avoir plusieurs versions du produit et de limiter le risque d'échec
L'équipe a besoin d'être davantage guidée,Niveau 1,E-diagnostic Leadership,"Pour ce dysfonctionnement, nous avons besoin d'approfondir avec un autre e-diagnostic qui n'est pas encore disponible afin d'en connaitre les raisons. Ces raisons peuvent être diverses et variées mais tout à fait normal en fonction de votre contexte"
Perte de raison d'être du produit,Niveau 0,Global,"Impact global attendu : Réduire le temps de commercialisation, à améliorer la qualité du produit et à augmenter la satisfaction des utilisateurs"
Perte de raison d'être du produit,Niveau 1,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Perte de raison d'être du produit,Niveau 2,Lean Startup,Faire évoluer sa vision et donc sa stratégie afin de faire le bon produit. Source de motivation pour l'ensemble de l'équipe car elle permet d'aligner le collectif
Le problème identifié n'est pas le réel problème,Niveau 1,Experience Map,"Permettre de cartographier l'expérience d'un utilisateur, d'identifier les obstacles et les problèmes que le client rencontre avec un produit ou un service ainsi que les opportunités d'amélioration et d'innovation"
La vision ne peut être résumer en une phrase,Niveau 0,Global,
La fonctionnalité ou le service ne correspond pas à la raison d'être du produit,Niveau 0,Global,
Le problème n'est pas résolu entièrement,Niveau 0,Global,Impact global attendu : Permettre de mieux connaitre ces utilisateurs et d'intégrer leurs retours dans le produit dans les meilleurs délais
Le problème n'est pas résolu entièrement,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit"
Le problème n'est pas résolu entièrement,Niveau 2,Review,Prise en compte des retours utilisateurs dans la Roadmap produit
Le problème n'est pas résolu entièrement,Niveau 3,Experience Map,"Permettre de cartographier l'expérience d'un utilisateur, d'identifier les obstacles et les problèmes que le client rencontre avec un produit ou un service ainsi que les opportunités d'amélioration et d'innovation"
Le turnover est important,Niveau 1,Review,Impact global attendu : permettre de connaître les raisons du turnover trop important.
Le turnover est important,Nextoo,The band,Un anneau de tissu suffisamment élastique et résistant pour animer 24 personnes en même temps?
